Hand:,RIGHT
,"r2c1-5-6-5,r1c1-5-7-5,r1c2-5-8-5,r2c2-5-8-4,r2c3-5-8-3,r2c4-5-8-2"
ID,Timestamp,isSubmitting,isCheckingCube,CubesInShape,CurrentDragging,CurrentPlacing
,49.28749,0,0,1,,
,49.28829,0,0,1,,
,49.28915,0,0,1,,
,49.28996,0,0,1,,
,49.29099,0,0,1,,
,49.2918,0,0,1,,
,49.29261,0,0,1,,
,49.29345,0,0,1,,
,49.29432,0,0,1,,
,49.29514,0,0,1,,
,49.29596,0,0,1,,
,49.29676,0,0,1,,
,49.29757,0,0,1,,
,49.29867,0,0,1,,
,49.2995,0,0,1,,
,49.30032,0,0,1,,
,49.30138,0,0,1,,
,49.30591,0,0,1,,
,49.3068,0,0,1,,
,49.30769,0,0,1,,
,49.30875,0,0,1,,
,49.30959,0,0,1,,
,49.31042,0,0,1,,
,49.31124,0,0,1,,
,49.31205,0,0,1,,
,49.31286,0,0,1,,
,49.31367,0,0,1,,
,49.31447,0,0,1,,
,49.31528,0,0,1,,
,49.3161,0,0,1,,
,49.31691,0,0,1,,
,49.31783,0,0,1,,
,49.31864,0,0,1,,
,49.31945,0,0,1,,
,49.32029,0,0,1,,
,49.32139,0,0,1,,
,49.32225,0,0,1,,
,49.32307,0,0,1,,
,49.32389,0,0,1,,
,49.3247,0,0,1,,
,49.32559,0,0,1,,
,49.32647,0,0,1,,
,49.3273,0,0,1,,
,49.32811,0,0,1,,
,49.32894,0,0,1,,
,49.33002,0,0,1,,
,49.33083,0,0,1,,
,49.33165,0,0,1,,
,49.33273,0,0,1,,
,49.33355,0,0,1,,
,49.33438,0,0,1,,
,49.3352,0,0,1,,
,49.33602,0,0,1,,
,49.33683,0,0,1,,
,49.3379,0,0,1,,
,49.33871,0,0,1,,
,49.3398,0,0,1,,
,49.34063,0,0,1,,
,49.34176,0,0,1,,
,49.34258,0,0,1,,
,49.34341,0,0,1,,
,49.34423,0,0,1,,
,49.34504,0,0,1,,
,49.34588,0,0,1,,
,49.34671,0,0,1,,
,49.34752,0,0,1,,
,49.34844,0,0,1,,
,49.34933,0,0,1,,
,49.35017,0,0,1,,
,49.35098,0,0,1,,
,49.3518,0,0,1,,
,49.3526,0,0,1,,
,49.35367,0,0,1,,
,49.35449,0,0,1,,
,49.35532,0,0,1,,
,49.35614,0,0,1,,
,49.35698,0,0,1,,
,49.3578,0,0,1,,
,49.35863,0,0,1,,
,49.35966,0,0,1,,
,49.36049,0,0,1,,
,49.36154,0,0,1,,
,49.36236,0,0,1,,
,49.36317,0,0,1,,
,49.36422,0,0,1,,
,49.36503,0,0,1,,
,49.36586,0,0,1,,
,49.3667,0,0,1,,
,49.36752,0,0,1,,
,49.36835,0,0,1,,
,49.36981,0,0,1,,
,49.37066,0,0,1,,
,49.37171,0,0,1,,
,49.37254,0,0,1,,
,49.37336,0,0,1,,
,49.3742,0,0,1,,
,49.37526,0,0,1,,
,49.37609,0,0,1,,
,49.37692,0,0,1,,
,49.37774,0,0,1,,
,49.37879,0,0,1,,
,49.37961,0,0,1,,
,49.38064,0,0,1,,
,49.38171,0,0,1,,
,49.38253,0,0,1,,
,49.38335,0,0,1,,
,49.38417,0,0,1,,
,49.38512,0,0,1,,
,49.38595,0,0,1,,
,49.38676,0,0,1,,
,49.38757,0,0,1,,
,49.38838,0,0,1,,
,49.38923,0,0,1,,
,49.39005,0,0,1,,
,49.39087,0,0,1,,
,49.39171,0,0,1,,
,49.39252,0,0,1,,
,49.3936,0,0,1,,
,49.39441,0,0,1,,
,49.39521,0,0,1,,
,49.39602,0,0,1,,
,49.39682,0,0,1,,
,49.39763,0,0,1,,
,49.39843,0,0,1,,
,49.39923,0,0,1,,
,49.40004,0,0,1,,
,49.40108,0,0,1,,
,49.40214,0,0,1,,
,49.40297,0,0,1,,
,49.40378,0,0,1,,
,49.40466,0,0,1,,
,49.40582,0,0,1,,
,49.40665,0,0,1,,
,49.40747,0,0,1,,
,49.40829,0,0,1,,
,49.40931,0,0,1,,
,49.41012,0,0,1,,
,49.41093,0,0,1,,
,49.41175,0,0,1,,
,49.41256,0,0,1,,
,49.41338,0,0,1,,
,49.41418,0,0,1,,
,49.415,0,0,1,,
,49.41581,0,0,1,,
,49.41684,0,0,1,,
,49.41768,0,0,1,,
,49.41849,0,0,1,,
